DepartamentoCodigo;Departamento;MunicipioCodigo;Municipio;Año;IRCArural;Nivel de riesgo rural;cluster
11;Bogotá, D.C.;11001;Bogotá, D.C.;2024;14.8;Medium Risk;3
13;Bolívar;13001;Cartagena de Indias;2024;2.4;No Risk;3
13;Bolívar;13062;Arroyohondo;2024;6.3;Low Risk;3
13;Bolívar;13074;Barranco de Loba;2024;32.3;Medium Risk;3
13;Bolívar;13248;El Guamo;2024;0.0;No Risk;3
13;Bolívar;13430;Magangué;2024;13.9;Low Risk;3
13;Bolívar;13433;Mahates;2024;29.8;Medium Risk;3
13;Bolívar;13442;María La Baja;2024;1.2;No Risk;3
13;Bolívar;13458;Montecristo;2024;12.5;Low Risk;3
13;Bolívar;13657;San Juan Nepomuceno;2024;33.3;Medium Risk;3
13;Bolívar;13838;Turbana;2024;0.0;No Risk;3
13;Bolívar;13873;Villanueva;2024;0.0;No Risk;3
13;Bolívar;13894;Zambrano;2024;26.6;Medium Risk;3
15;Boyacá;15001;Tunja;2024;10.9;Low Risk;1
15;Boyacá;15022;Almeida;2024;32.5;Medium Risk;1
15;Boyacá;15047;Aquitania;2024;6.2;Low Risk;1
15;Boyacá;15090;Berbeo;2024;69.4;High Risk;1
15;Boyacá;15106;Briceño;2024;72.3;High Risk;1
15;Boyacá;15131;Caldas;2024;94.9;Sanitaryly not feasible;1
15;Boyacá;15135;Campohermoso;2024;8.3;Low Risk;1
15;Boyacá;15183;Chita;2024;23.7;Medium Risk;1
15;Boyacá;15185;Chitaraque;2024;10.7;Low Risk;1
15;Boyacá;15187;Chivatá;2024;9.1;Low Risk;1
15;Boyacá;15212;Coper;2024;74.4;High Risk;1
15;Boyacá;15215;Corrales;2024;38.0;High Risk;1
15;Boyacá;15223;Cubará;2024;43.9;High Risk;1
15;Boyacá;15224;Cucaita;2024;24.3;Medium Risk;1
15;Boyacá;15226;Cuítiva;2024;9.3;Low Risk;1
15;Boyacá;15232;Chíquiza;2024;7.2;Low Risk;1
15;Boyacá;15238;Duitama;2024;0.4;No Risk;1
15;Boyacá;15244;El Cocuy;2024;0.0;No Risk;1
15;Boyacá;15276;Floresta;2024;12.6;Low Risk;1
15;Boyacá;15299;Garagoa;2024;0.0;No Risk;1
15;Boyacá;15325;Guayatá;2024;0.0;No Risk;1
15;Boyacá;15377;Labranzagrande;2024;56.7;High Risk;1
15;Boyacá;15401;La Victoria;2024;12.1;Low Risk;1
15;Boyacá;15407;Villa de Leyva;2024;7.2;Low Risk;1
15;Boyacá;15442;Maripí;2024;6.6;Low Risk;1
15;Boyacá;15476;Motavita;2024;12.1;Low Risk;1
15;Boyacá;15480;Muzo;2024;58.5;High Risk;1
15;Boyacá;15491;Nobsa;2024;4.4;No Risk;1
15;Boyacá;15500;Oicatá;2024;39.7;High Risk;1
15;Boyacá;15511;Pachavita;2024;87.2;Sanitaryly not feasible;1
15;Boyacá;15516;Paipa;2024;6.5;Low Risk;1
15;Boyacá;15518;Pajarito;2024;14.0;Low Risk;1
15;Boyacá;15531;Pauna;2024;81.5;Sanitaryly not feasible;1
15;Boyacá;15533;Paya;2024;8.5;Low Risk;1
15;Boyacá;15550;Pisba;2024;15.4;Medium Risk;1
15;Boyacá;15580;Quípama;2024;6.3;Low Risk;1
15;Boyacá;15599;Ramiriquí;2024;0.8;No Risk;1
15;Boyacá;15600;Ráquira;2024;10.6;Low Risk;1
15;Boyacá;15638;Sáchica;2024;8.7;Low Risk;1
15;Boyacá;15660;San Eduardo;2024;81.0;Sanitaryly not feasible;1
15;Boyacá;15676;San Miguel de Sema;2024;10.0;Low Risk;1
15;Boyacá;15681;San Pablo de Borbur;2024;0.0;No Risk;1
15;Boyacá;15690;Santa María;2024;0.0;No Risk;1
15;Boyacá;15693;Santa Rosa de Viterbo;2024;4.2;No Risk;1
15;Boyacá;15723;Sativasur;2024;7.2;Low Risk;1
15;Boyacá;15740;Siachoque;2024;14.5;Medium Risk;1
15;Boyacá;15759;Sogamoso;2024;1.2;No Risk;1
15;Boyacá;15762;Sora;2024;30.1;Medium Risk;1
15;Boyacá;15764;Soracá;2024;23.6;Medium Risk;1
15;Boyacá;15776;Sutamarchán;2024;86.4;Sanitaryly not feasible;1
15;Boyacá;15778;Sutatenza;2024;28.4;Medium Risk;1
15;Boyacá;15810;Tipacoque;2024;69.3;High Risk;1
15;Boyacá;15820;Tópaga;2024;40.8;High Risk;1
15;Boyacá;15822;Tota;2024;22.0;Medium Risk;1
15;Boyacá;15839;Tutazá;2024;45.2;High Risk;1
15;Boyacá;15879;Viracachá;2024;60.0;High Risk;1
17;Caldas;17001;Manizales;2024;62.9;High Risk;1
17;Caldas;17042;Anserma;2024;29.0;Medium Risk;1
