CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida,hour,month,day_of_week
35225030,240,2024-01-11 15:10:00,0.7,MODULOS,CASANARE,OROCUÉ,META,4.91047222,-71.43305556,PRECIPITACIÓN,mm,15,1,3
35225030,240,2024-01-12 12:00:00,0.1,MODULOS,CASANARE,OROCUÉ,META,4.91047222,-71.43305556,PRECIPITACIÓN,mm,12,1,4
35225030,240,2024-01-12 08:40:00,0.6,MODULOS,CASANARE,OROCUÉ,META,4.91047222,-71.43305556,PRECIPITACIÓN,mm,8,1,4
51020011,240,2024-01-12 02:30:00,0.6,PIEDRANCHA -,NARIÑO,MALLAMA,MIRA,1.14152778,-77.92897222,PRECIPITACIÓN,mm,2,1,4
35225030,240,2024-01-13 00:20:00,0.1,MODULOS,CASANARE,OROCUÉ,META,4.91047222,-71.43305556,PRECIPITACIÓN,mm,0,1,5
35235010,240,2024-01-17 05:30:00,0.1,CARDON EL,BOYACÁ,SOCOTÁ,META,6.01166667,-72.52927778,PRECIPITACIÓN,mm,5,1,2
52057100,240,2024-02-10 09:00:00,0.01,RUMICHACA,NARIÑO,IPIALES,PATÍA,0.81378611,-77.66197778,PRECIPITACIÓN,mm,9,2,5
52057100,240,2024-02-10 08:30:00,0.01,RUMICHACA,NARIÑO,IPIALES,PATÍA,0.81378611,-77.66197778,PRECIPITACIÓN,mm,8,2,5
35235050,240,2024-02-10 11:40:00,0.7,TAMARA,CASANARE,TÁMARA,META,5.81858333,-72.16677778,PRECIPITACIÓN,mm,11,2,5
52057100,240,2024-02-11 10:40:00,0.01,RUMICHACA,NARIÑO,IPIALES,PATÍA,0.81378611,-77.66197778,PRECIPITACIÓN,mm,10,2,6
35225030,240,2024-02-11 06:40:00,0.5,MODULOS,CASANARE,OROCUÉ,META,4.91047222,-71.43305556,PRECIPITACIÓN,mm,6,2,6
35217060,240,2024-02-11 18:10:00,0.8,PLAYON EL,CASANARE,NUNCHÍA,META,5.5405,-72.23172222,PRECIPITACIÓN,mm,18,2,6
35235010,240,2024-02-26 15:50:00,0.1,CARDON EL,BOYACÁ,SOCOTÁ,META,6.01166667,-72.52927778,PRECIPITACIÓN,mm,15,2,0
44055010,240,2024-03-03 06:00:00,1.8,TRES ESQUINAS,CAQUETÁ,SOLANO,CAQUETÁ,0.7375,-75.23611111,PRECIPITACIÓN,mm,6,3,6
35225030,240,2024-03-11 10:20:00,0.9,MODULOS,CASANARE,OROCUÉ,META,4.91047222,-71.43305556,PRECIPITACIÓN,mm,10,3,0
35235010,240,2024-03-24 16:40:00,0.1,CARDON EL,BOYACÁ,SOCOTÁ,META,6.01166667,-72.52927778,PRECIPITACIÓN,mm,16,3,6
13027040,240,2024-03-25 15:10:00,0.1,CANO BRAVO,CÓRDOBA,AYAPEL,SINÚ,8.23584722,-74.96043889,PRECIPITACIÓN,mm,15,3,0
52050060,240,2024-03-26 06:30:00,0.2,RIO BOBO,NARIÑO,PASTO,PATÍA,1.0995,-77.29972222,PRECIPITACIÓN,mm,6,3,1
52050060,240,2024-03-26 14:20:00,0.3,RIO BOBO,NARIÑO,PASTO,PATÍA,1.0995,-77.29972222,PRECIPITACIÓN,mm,14,3,1
51020011,240,2024-03-26 06:30:00,0.1,PIEDRANCHA -,NARIÑO,MALLAMA,MIRA,1.14152778,-77.92897222,PRECIPITACIÓN,mm,6,3,1
52057100,240,2024-03-26 19:20:00,0.01,RUMICHACA,NARIÑO,IPIALES,PATÍA,0.81378611,-77.66197778,PRECIPITACIÓN,mm,19,3,1
51020011,240,2024-03-27 14:10:00,0.2,PIEDRANCHA -,NARIÑO,MALLAMA,MIRA,1.14152778,-77.92897222,PRECIPITACIÓN,mm,14,3,2
52050060,240,2024-03-27 15:10:00,0.2,RIO BOBO,NARIÑO,PASTO,PATÍA,1.0995,-77.29972222,PRECIPITACIÓN,mm,15,3,2
35235010,240,2024-03-27 06:50:00,0.5,CARDON EL,BOYACÁ,SOCOTÁ,META,6.01166667,-72.52927778,PRECIPITACIÓN,mm,6,3,2
35235010,240,2024-03-28 07:50:00,0.5,CARDON EL,BOYACÁ,SOCOTÁ,META,6.01166667,-72.52927778,PRECIPITACIÓN,mm,7,3,3
16017020,240,2024-01-01 15:30:00,0.1,LA DONJUANA,NORTE DE SANTANDER,CHINÁCOTA,CATATUMBO,7.68797222,-72.60547222,PRECIPITACIÓN,mm,15,1,0
29045190,257,2024-01-01 12:06:00,0.1,AEROPUERTO E. CORTISSOZ,ATLANTICO,SOLEDAD,BAJO MAGDALENA,10.91777778,-74.77972222,GPRS - PRECIPITACIÓN,mm,12,1,0
52057100,240,2024-01-01 13:10:00,0.01,RUMICHACA,NARIÑO,IPIALES,PATÍA,0.81378611,-77.66197778,PRECIPITACIÓN,mm,13,1,0
48015050,257,2024-01-01 23:14:00,0.2,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,AMAZONAS - DIRECTOS,-4.19386111,-69.94091667,GPRS - PRECIPITACIÓN,mm,23,1,0
35235010,240,2024-01-01 12:10:00,0.5,CARDON EL,BOYACÁ,SOCOTÁ,META,6.01166667,-72.52927778,PRECIPITACIÓN,mm,12,1,0
48015050,257,2024-01-01 21:04:00,0.1,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,AMAZONAS - DIRECTOS,-4.19386111,-69.94091667,GPRS - PRECIPITACIÓN,mm,21,1,0
54025010,240,2024-01-01 11:40:00,6.7,SAN JOSE PALMAR,CHOCÓ,NÓVITA,SAN JUÁN,4.89808333,-76.67666667,PRECIPITACIÓN,mm,11,1,0
29045190,257,2024-01-01 14:34:00,0.1,AEROPUERTO E. CORTISSOZ,ATLANTICO,SOLEDAD,BAJO MAGDALENA,10.91777778,-74.77972222,GPRS - PRECIPITACIÓN,mm,14,1,0
29045190,240,2024-01-01 13:30:00,0.19,AEROPUERTO E. CORTISSOZ,ATLANTICO,SOLEDAD,BAJO MAGDALENA,10.91777778,-74.77972222,PRECIPITACIÓN,mm,13,1,0
48015050,240,2024-01-01 13:10:00,1.94,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,AMAZONAS - DIRECTOS,-4.19386111,-69.94091667,PRECIPITACIÓN,mm,13,1,0
48015050,257,2024-01-01 18:22:00,0.1,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,AMAZONAS - DIRECTOS,-4.19386111,-69.94091667,GPRS - PRECIPITACIÓN,mm,18,1,0
29045190,257,2024-01-01 12:08:00,0.1,AEROPUERTO E. CORTISSOZ,ATLANTICO,SOLEDAD,BAJO MAGDALENA,10.91777778,-74.77972222,GPRS - PRECIPITACIÓN,mm,12,1,0
48015050,240,2024-01-01 22:20:00,1.22,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,AMAZONAS - DIRECTOS,-4.19386111,-69.94091667,PRECIPITACIÓN,mm,22,1,0
48015050,257,2024-01-01 21:56:00,0.1,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,AMAZONAS - DIRECTOS,-4.19386111,-69.94091667,GPRS - PRECIPITACIÓN,mm,21,1,0
48015050,257,2024-01-01 13:46:00,0.2,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,AMAZONAS - DIRECTOS,-4.19386111,-69.94091667,GPRS - PRECIPITACIÓN,mm,13,1,0
29045190,257,2024-01-01 16:08:00,0.1,AEROPUERTO E. CORTISSOZ,ATLANTICO,SOLEDAD,BAJO MAGDALENA,10.91777778,-74.77972222,GPRS - PRECIPITACIÓN,mm,16,1,0
25025380,240,2024-01-01 13:40:00,0.1,SAN BENITO,SUCRE,SAN BENITO ABAD,BAJO MAGDALENA- CAUCA -SAN JORGE,9.16388889,-75.04472222,PRECIPITACIÓN,mm,13,1,0
54025010,240,2024-01-01 17:40:00,6.7,SAN JOSE PALMAR,CHOCÓ,NÓVITA,SAN JUÁN,4.89808333,-76.67666667,PRECIPITACIÓN,mm,17,1,0
29047000,240,2024-01-01 13:10:00,0.11,TEBSA BQUILLA,ATLANTICO,SOLEDAD,BAJO MAGDALENA,10.93663889,-74.75988889,PRECIPITACIÓN,mm,13,1,0
48015050,240,2024-01-01 18:00:00,1.42,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,AMAZONAS - DIRECTOS,-4.19386111,-69.94091667,PRECIPITACIÓN,mm,18,1,0
29045190,257,2024-01-01 16:14:00,0.1,AEROPUERTO E. CORTISSOZ,ATLANTICO,SOLEDAD,BAJO MAGDALENA,10.91777778,-74.77972222,GPRS - PRECIPITACIÓN,mm,16,1,0
48015050,257,2024-01-01 18:24:00,0.2,AEROPUERTO VASQUEZ COBO,AMAZONAS,LETICIA,AMAZONAS - DIRECTOS,-4.19386111,-69.94091667,GPRS - PRECIPITACIÓN,mm,18,1,0
29045190,240,2024-01-01 18:10:00,0.34,AEROPUERTO E. CORTISSOZ,ATLANTICO,SOLEDAD,BAJO MAGDALENA,10.91777778,-74.77972222,PRECIPITACIÓN,mm,18,1,0
29045190,257,2024-01-01 17:40:00,0.1,AEROPUERTO E. CORTISSOZ,ATLANTICO,SOLEDAD,BAJO MAGDALENA,10.91777778,-74.77972222,GPRS - PRECIPITACIÓN,mm,17,1,0
54025010,240,2024-01-01 20:00:00,6.7,SAN JOSE PALMAR,CHOCÓ,NÓVITA,SAN JUÁN,4.89808333,-76.67666667,PRECIPITACIÓN,mm,20,1,0
54025010,240,2024-01-01 17:10:00,6.7,SAN JOSE PALMAR,CHOCÓ,NÓVITA,SAN JUÁN,4.89808333,-76.67666667,PRECIPITACIÓN,mm,17,1,0
