CodigoEstacion,mean_precipitation,median_precipitation,std_precipitation,variance_precipitation,min_precipitation,max_precipitation,p25_precipitation,p75_precipitation,observation_count,latitude,longitude,mean_hour,hour_sin_mean,hour_cos_mean,month_sin_mean,month_cos_mean,unique_months,unique_years,precipitation_skewness,coefficient_variation,precipitation_range,iqr_precipitation,rainy_days_ratio,cluster
13027040,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,1,8.23584722,-74.96043889,15.0,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,1,1,,0.0,0.0,0.0,1.0,2
15085030,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,4,11.21675,-72.35994444,8.5,0.7391989197401166,-0.5561862178478971,0.4999999999999999,0.8660254037844387,1,1,,0.0,0.0,0.0,1.0,3
16017020,0.1125,0.1,0.0353553390593273,0.00125,0.1,0.2,0.1,0.1,8,7.68797222,-72.60547222,14.375,-0.577665042944955,-0.8064309203102298,0.4999999999999999,0.8660254037844387,1,1,2.2677868380553634,0.3142696805273544,0.1,0.0,1.0,3
17025020,0.24,0.3,0.1341640786499874,0.018,0.1,0.4,0.1,0.3,5,13.3595,-81.35772194,6.4,0.382842712474619,0.559575411272515,0.4999999999999999,0.8660254037844387,1,1,-0.111111111111112,0.5590169943749475,0.3,0.1999999999999999,1.0,3
21050060,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,2,2.19905556,-75.97227778,8.5,0.7865660924854931,-0.6035533905932736,0.4999999999999999,0.8660254037844387,1,1,,0.0,0.0,0.0,1.0,3
21065040,0.5333333333333333,0.6,0.404145188432738,0.1633333333333333,0.1,0.9,0.35,0.75,3,2.2525,-75.52944444,14.0,-0.4999999999999997,-0.8660254037844388,0.4999999999999999,0.8660254037844387,1,1,-0.2947996201448287,0.7577722283113839,0.8,0.4,1.0,3
21097070,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1,2.94261111,-75.30852778,4.0,0.8660254037844386,0.5000000000000001,0.4999999999999999,0.8660254037844387,1,1,,0.0,0.0,0.0,1.0,3
21105040,0.5499999999999999,0.1,0.9,0.8099999999999999,0.1,1.9,0.1,0.5499999999999999,4,2.69680556,-75.29888889,5.5,0.4656253246142804,0.2888486293176436,0.4999999999999999,0.8660254037844387,1,1,1.1547005383792512,1.636363636363637,1.7999999999999998,0.4499999999999999,1.0,3
21105050,1.6666666666666667,1.6,1.0016652800877814,1.003333333333334,0.7,2.7,1.15,2.1500000000000004,3,2.60305556,-75.41833333,4.0,0.8660254037844387,0.5000000000000001,0.4999999999999999,0.8660254037844387,1,1,0.1217292511959062,0.6009991680526688,2.0,1.0000000000000004,1.0,3
21205670,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,1,4.77088889,-74.43763889,19.0,-0.9659258262890684,0.2588190451025203,0.4999999999999999,0.8660254037844387,1,1,,0.0,0.0,0.0,1.0,3
