DepartamentoCodigo;Departamento;MunicipioCodigo;Municipio;Año;IRCArural;Nivel de riesgo rural
11;Bogotá, D.C.;11001;Bogotá, D.C.;2,024;14.8;Riesgo medio
13;Bolívar;13001;Cartagena de Indias;2,024;2.4;Sin riesgo
13;Bolívar;13062;Arroyohondo;2,024;6.3;Bajo riesgo
13;Bolívar;13074;Barranco de Loba;2,024;32.3;Riesgo medio
13;Bolívar;13248;El Guamo;2,024;0;Sin riesgo
13;Bolívar;13430;Magangué;2,024;13.9;Bajo riesgo
13;Bolívar;13433;Mahates;2,024;29.8;Riesgo medio
13;Bolívar;13442;María La Baja;2,024;1.2;Sin riesgo
13;Bolívar;13458;Montecristo;2,024;12.5;Bajo riesgo
13;Bolívar;13657;San Juan Nepomuceno;2,024;33.3;Riesgo medio
13;Bolívar;13838;Turbana;2,024;0;Sin riesgo
13;Bolívar;13873;Villanueva;2,024;0;Sin riesgo
13;Bolívar;13894;Zambrano;2,024;26.6;Riesgo medio
15;Boyacá;15001;Tunja;2,024;10.9;Bajo riesgo
15;Boyacá;15022;Almeida;2,024;32.5;Riesgo medio
15;Boyacá;15047;Aquitania;2,024;6.2;Bajo riesgo
15;Boyacá;15090;Berbeo;2,024;69.4;Alto riesgo
15;Boyacá;15106;Briceño;2,024;72.3;Alto riesgo
15;Boyacá;15131;Caldas;2,024;94.9;Inviable sanitariamente
15;Boyacá;15135;Campohermoso;2,024;8.3;Bajo riesgo
15;Boyacá;15183;Chita;2,024;23.7;Riesgo medio
15;Boyacá;15185;Chitaraque;2,024;10.7;Bajo riesgo
15;Boyacá;15187;Chivatá;2,024;9.1;Bajo riesgo
15;Boyacá;15212;Coper;2,024;74.4;Alto riesgo
15;Boyacá;15215;Corrales;2,024;38;Alto riesgo
15;Boyacá;15223;Cubará;2,024;43.9;Alto riesgo
15;Boyacá;15224;Cucaita;2,024;24.3;Riesgo medio
15;Boyacá;15226;Cuítiva;2,024;9.3;Bajo riesgo
15;Boyacá;15232;Chíquiza;2,024;7.2;Bajo riesgo
15;Boyacá;15238;Duitama;2,024;0.4;Sin riesgo
15;Boyacá;15244;El Cocuy;2,024;0;Sin riesgo
15;Boyacá;15276;Floresta;2,024;12.6;Bajo riesgo
15;Boyacá;15299;Garagoa;2,024;0;Sin riesgo
15;Boyacá;15325;Guayatá;2,024;0;Sin riesgo
15;Boyacá;15377;Labranzagrande;2,024;56.7;Alto riesgo
15;Boyacá;15401;La Victoria;2,024;12.1;Bajo riesgo
15;Boyacá;15407;Villa de Leyva;2,024;7.2;Bajo riesgo
15;Boyacá;15442;Maripí;2,024;6.6;Bajo riesgo
15;Boyacá;15476;Motavita;2,024;12.1;Bajo riesgo
15;Boyacá;15480;Muzo;2,024;58.5;Alto riesgo
15;Boyacá;15491;Nobsa;2,024;4.4;Sin riesgo
15;Boyacá;15500;Oicatá;2,024;39.7;Alto riesgo
15;Boyacá;15511;Pachavita;2,024;87.2;Inviable sanitariamente
15;Boyacá;15516;Paipa;2,024;6.5;Bajo riesgo
15;Boyacá;15518;Pajarito;2,024;14;Bajo riesgo
15;Boyacá;15531;Pauna;2,024;81.5;Inviable sanitariamente
15;Boyacá;15533;Paya;2,024;8.5;Bajo riesgo
15;Boyacá;15550;Pisba;2,024;15.4;Riesgo medio
15;Boyacá;15580;Quípama;2,024;6.3;Bajo riesgo
15;Boyacá;15599;Ramiriquí;2,024;0.8;Sin riesgo
15;Boyacá;15600;Ráquira;2,024;10.6;Bajo riesgo
15;Boyacá;15638;Sáchica;2,024;8.7;Bajo riesgo
15;Boyacá;15660;San Eduardo;2,024;81;Inviable sanitariamente
15;Boyacá;15676;San Miguel de Sema;2,024;10;Bajo riesgo
15;Boyacá;15681;San Pablo de Borbur;2,024;0;Sin riesgo
15;Boyacá;15690;Santa María;2,024;0;Sin riesgo
15;Boyacá;15693;Santa Rosa de Viterbo;2,024;4.2;Sin riesgo
15;Boyacá;15723;Sativasur;2,024;7.2;Bajo riesgo
15;Boyacá;15740;Siachoque;2,024;14.5;Riesgo medio
15;Boyacá;15759;Sogamoso;2,024;1.2;Sin riesgo
15;Boyacá;15762;Sora;2,024;30.1;Riesgo medio
15;Boyacá;15764;Soracá;2,024;23.6;Riesgo medio
